name,data_per_month,data_per_day,call_minutes,text_messages,price_initial,mobile_carrier_id,carrier_url
LTE 유심 (7GB+/통화기본),7000,0,-1,-1,17300,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=298&upPpnCd=U005&devKdCd=003
LTE 유심 (9GB+/500분),9000,0,500,100,17950,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=367&upPpnCd=U006&devKdCd=003
LTE 유심 (9GB/3000분),9000,0,3000,1000,14850,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=347&upPpnCd=U006&devKdCd=003
LTE 유심 (10GB/100분),10000,0,100,100,12600,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=368&upPpnCd=U007&devKdCd=003
LTE 유심 (10GB+/통화기본),10000,0,-1,-1,26000,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=410&upPpnCd=U007&devKdCd=003
LTE 유심 (15GB+/100분),15000,0,100,100,25250,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=203&upPpnCd=U008&devKdCd=003
LTE 유심 (15GB+/180분),15000,0,180,100,26900,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=237&upPpnCd=U008&devKdCd=003
LTE 유심 (15GB+/300분),15000,0,300,300,27450,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=273&upPpnCd=U008&devKdCd=003
LTE 유심 스페셜,11000,2,-1,-1,33000,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=27&upPpnCd=U009&devKdCd=003
LTE 유심 스페셜 프로,0,5000,-1,-1,38990,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=178&upPpnCd=U009&devKdCd=003
LTE 유심 스페셜 플러스,100000,0,-1,-1,40200,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=408&upPpnCd=U009&devKdCd=003
5G 유심 (5GB/200분),5000,0,200,100,8900,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=283&upPpnCd=U010&devKdCd=003
