name,data_per_month,call_minutes,text_messages,price_initial,mobile_carrier_id,carrier_url
USIM 스위트 심플(100분+2.5GB),0,100,100,4400,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=620&telecom=KT
후후 스위트 1GB+ (6GB 추가제공),0,-1,-1,18590,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=653&telecom=KT
USIM 스위트 심플(500분+1GB),0,500,100,4950,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=622&telecom=KT
USIM 스위트 심플(500분+2GB),0,500,100,5610,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=623&telecom=KT
USIM 스위트 심플(100분+5GB),0,100,100,5390,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=624&telecom=KT
USIM 스위트 심플(200분+7GB),0,200,100,8140,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=625&telecom=KT
USIM 스위트 데이터 11GB+,0,-1,-1,34760,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=608&telecom=KT
USIM 스위트 (100분/10GB),0,100,100,9900,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=648&telecom=KT
USIM 스위트 (500분/10GB),0,500,100,12320,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=650&telecom=KT
USIM 스위트 (300분/10GB),0,300,100,11440,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=649&telecom=KT
USIM 스위트 음성 무제한,0,-1,-1,4950,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=634&telecom=KT
USIM 스위트 음성 무제한 1GB,0,-1,-1,5720,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=635&telecom=KT
USIM 스위트 음성 무제한 5GB,0,-1,-1,8910,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=636&telecom=KT
USIM 스위트 데이터 15GB+(100분),0,100,100,26840,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=607&telecom=KT
USIM 스위트 데이터 100GB+,0,-1,-1,40700,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=619&telecom=KT
USIM 스위트 11GB+(멜론),0,-1,-1,36960,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=640&telecom=KT
USIM 스위트 5G망(300분/10GB),0,300,100,11440,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=644&telecom=KT
5G 스위트 10GB,0,-1,-1,34760,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=646&telecom=KT
5G 스위트 110GB,0,-1,-1,44660,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=647&telecom=KT
5G 스위트 200GB+(지니뮤직),0,-1,-1,53680,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=642&telecom=KT
USIM 스위트 5G망(100분/10GB),0,100,100,9900,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=643&telecom=KT
USIM 스위트 5G망(500분/10GB),0,500,100,12320,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=645&telecom=KT
5G 스위트 110GB+(지니뮤직),0,-1,-1,47300,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=641&telecom=KT
